,start,end,activity,time_of_the_day,BalconyDoor_24,BathroomPIR_19,BedPressureLeft_13,BedPressureRight_12,BedroomDoor_10,BedroomDresser_18,BedroomMovement_16,CutleryDrawer_14,Fridge_3,Frontdoor_7,GroceriesCupboard_5,KitchenPIR_28,KitchenWindow_25,Microwave_27,PianoSeatPressure_20,PlatesCupboard_9,ServerNookSeatPressure_22,SinkFloat_21,StoveLid_15,Toaster_26,ToiletDoor_1,ToiletFlush_6,one_hot_time_of_the_day,repeated_activitiesUnary
68,24-Jul-2009 17:54:00,24-Jul-2009 17:54:59,leaveHouse,0.7458333333333333,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
77,24-Jul-2009 18:03:00,24-Jul-2009 18:03:59,leaveHouse,0.7520833333333333,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 1 0 0 0 0 0]
80,24-Jul-2009 18:06:00,24-Jul-2009 18:06:59,leaveHouse,0.7541666666666667,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
81,24-Jul-2009 18:07:00,24-Jul-2009 18:07:59,leaveHouse,0.7548611111111111,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
86,24-Jul-2009 18:12:00,24-Jul-2009 18:12:59,leaveHouse,0.7583333333333333,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
87,24-Jul-2009 18:13:00,24-Jul-2009 18:13:59,leaveHouse,0.7590277777777777,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
89,24-Jul-2009 18:15:00,24-Jul-2009 18:15:59,leaveHouse,0.7604166666666666,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
91,24-Jul-2009 18:17:00,24-Jul-2009 18:17:59,leaveHouse,0.7618055555555555,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
93,24-Jul-2009 18:19:00,24-Jul-2009 18:19:59,leaveHouse,0.7631944444444444,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
94,24-Jul-2009 18:20:00,24-Jul-2009 18:20:59,leaveHouse,0.7638888888888888,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
95,24-Jul-2009 18:21:00,24-Jul-2009 18:21:59,leaveHouse,0.7645833333333333,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
102,24-Jul-2009 18:28:00,24-Jul-2009 18:28:59,leaveHouse,0.7694444444444445,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 1 0 0 0 0 0]
103,24-Jul-2009 18:29:00,24-Jul-2009 18:29:59,leaveHouse,0.7701388888888889,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0 0 0]
105,24-Jul-2009 18:31:00,24-Jul-2009 18:31:59,leaveHouse,0.7715277777777778,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
106,24-Jul-2009 18:32:00,24-Jul-2009 18:32:59,leaveHouse,0.7722222222222223,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
107,24-Jul-2009 18:33:00,24-Jul-2009 18:33:59,idle,0.7729166666666667,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
119,24-Jul-2009 18:45:00,24-Jul-2009 18:45:59,idle,0.78125,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 1 0 0 0 0 0]
120,24-Jul-2009 18:46:00,24-Jul-2009 18:46:59,idle,0.7819444444444444,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
124,24-Jul-2009 18:50:00,24-Jul-2009 18:50:59,idle,0.7847222222222222,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
125,24-Jul-2009 18:51:00,24-Jul-2009 18:51:59,idle,0.7854166666666667,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
128,24-Jul-2009 18:54:00,24-Jul-2009 18:54:59,idle,0.7875,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
130,24-Jul-2009 18:56:00,24-Jul-2009 18:56:59,idle,0.7888888888888889,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
131,24-Jul-2009 18:57:00,24-Jul-2009 18:57:59,idle,0.7895833333333333,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
132,24-Jul-2009 18:58:00,24-Jul-2009 18:58:59,idle,0.7902777777777777,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
133,24-Jul-2009 18:59:00,24-Jul-2009 18:59:59,idle,0.7909722222222222,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
134,24-Jul-2009 19:00:00,24-Jul-2009 19:00:59,idle,0.7916666666666666,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
135,24-Jul-2009 19:01:00,24-Jul-2009 19:01:59,idle,0.7923611111111111,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
136,24-Jul-2009 19:02:00,24-Jul-2009 19:02:59,idle,0.7930555555555555,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
137,24-Jul-2009 19:03:00,24-Jul-2009 19:03:59,idle,0.79375,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
139,24-Jul-2009 19:05:00,24-Jul-2009 19:05:59,idle,0.7951388888888888,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
140,24-Jul-2009 19:06:00,24-Jul-2009 19:06:59,idle,0.7958333333333333,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
141,24-Jul-2009 19:07:00,24-Jul-2009 19:07:59,idle,0.7965277777777777,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
142,24-Jul-2009 19:08:00,24-Jul-2009 19:08:59,idle,0.7972222222222223,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
143,24-Jul-2009 19:09:00,24-Jul-2009 19:09:59,idle,0.7979166666666667,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
144,24-Jul-2009 19:10:00,24-Jul-2009 19:10:59,idle,0.7986111111111112,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
145,24-Jul-2009 19:11:00,24-Jul-2009 19:11:59,idle,0.7993055555555556,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
146,24-Jul-2009 19:12:00,24-Jul-2009 19:12:59,idle,0.8,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
148,24-Jul-2009 19:14:00,24-Jul-2009 19:14:59,idle,0.8013888888888889,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
152,24-Jul-2009 19:18:00,24-Jul-2009 19:18:59,idle,0.8041666666666667,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
154,24-Jul-2009 19:20:00,24-Jul-2009 19:20:59,idle,0.8055555555555556,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
156,24-Jul-2009 19:22:00,24-Jul-2009 19:22:59,idle,0.8069444444444445,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
157,24-Jul-2009 19:23:00,24-Jul-2009 19:23:59,idle,0.8076388888888889,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0 0 0]
165,24-Jul-2009 19:31:00,24-Jul-2009 19:31:59,idle,0.8131944444444444,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 1 0 0 0 0 0]
167,24-Jul-2009 19:33:00,24-Jul-2009 19:33:59,idle,0.8145833333333333,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
196,24-Jul-2009 20:02:00,24-Jul-2009 20:02:59,idle,0.8347222222222223,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 1 0 0 0 0 0]
197,24-Jul-2009 20:03:00,24-Jul-2009 20:03:59,idle,0.8354166666666667,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
199,24-Jul-2009 20:05:00,24-Jul-2009 20:05:59,idle,0.8368055555555556,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
200,24-Jul-2009 20:06:00,24-Jul-2009 20:06:59,idle,0.8375,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
201,24-Jul-2009 20:07:00,24-Jul-2009 20:07:59,idle,0.8381944444444445,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
202,24-Jul-2009 20:08:00,24-Jul-2009 20:08:59,idle,0.8388888888888889,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
203,24-Jul-2009 20:09:00,24-Jul-2009 20:09:59,idle,0.8395833333333333,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
204,24-Jul-2009 20:10:00,24-Jul-2009 20:10:59,idle,0.8402777777777778,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
215,24-Jul-2009 20:21:00,24-Jul-2009 20:21:59,prepareDinner,0.8479166666666667,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 1 0 0 0 0 0]
216,24-Jul-2009 20:22:00,24-Jul-2009 20:22:59,prepareDinner,0.8486111111111111,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
217,24-Jul-2009 20:23:00,24-Jul-2009 20:23:59,prepareDinner,0.8493055555555555,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
218,24-Jul-2009 20:24:00,24-Jul-2009 20:24:59,prepareDinner,0.85,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
219,24-Jul-2009 20:25:00,24-Jul-2009 20:25:59,prepareDinner,0.8506944444444444,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
220,24-Jul-2009 20:26:00,24-Jul-2009 20:26:59,prepareDinner,0.8513888888888889,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
221,24-Jul-2009 20:27:00,24-Jul-2009 20:27:59,prepareDinner,0.8520833333333333,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
222,24-Jul-2009 20:28:00,24-Jul-2009 20:28:59,prepareDinner,0.8527777777777777,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
223,24-Jul-2009 20:29:00,24-Jul-2009 20:29:59,prepareDinner,0.8534722222222222,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
224,24-Jul-2009 20:30:00,24-Jul-2009 20:30:59,prepareDinner,0.8541666666666666,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 0]
225,24-Jul-2009 20:31:00,24-Jul-2009 20:31:59,prepareDinner,0.8548611111111111,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
226,24-Jul-2009 20:32:00,24-Jul-2009 20:32:59,prepareDinner,0.8555555555555555,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
230,24-Jul-2009 20:36:00,24-Jul-2009 20:36:59,prepareDinner,0.8583333333333333,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
231,24-Jul-2009 20:37:00,24-Jul-2009 20:37:59,prepareDinner,0.8590277777777777,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
232,24-Jul-2009 20:38:00,24-Jul-2009 20:38:59,prepareDinner,0.8597222222222223,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
235,24-Jul-2009 20:41:00,24-Jul-2009 20:41:59,idle,0.8618055555555556,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
238,24-Jul-2009 20:44:00,24-Jul-2009 20:44:59,eatDinner,0.8638888888888889,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
239,24-Jul-2009 20:45:00,24-Jul-2009 20:45:59,eatDinner,0.8645833333333334,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
240,24-Jul-2009 20:46:00,24-Jul-2009 20:46:59,getDrink,0.8652777777777778,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0 0 0]
